ItemName,ItemDescription,ItemType
Butterbean Salad With Garlic Dressing,A mouthwatering butterbean salad served with garlic dressing. Ingredients: cucumber | lettuce | cress | butterbean | garlic,Appetiser
Veal Salad With Garlic Dressing,A mouthwatering veal salad served with garlic dressing. Ingredients: cucumber | lettuce | cress | veal | garlic,Appetiser
Beetroot Salad With Vegetable Oil Dressing,A mouthwatering beetroot salad served with vegetable oil dressing. Ingredients: cucumber | lettuce | cress | beetroot | vegetable oil,Appetiser
Cabbage Salad With Garlic Dressing,A mouthwatering cabbage salad served with garlic dressing. Ingredients: cucumber | lettuce | cress | cabbage | garlic,Appetiser
Cauliflower Salad With Garlic Dressing,A mouthwatering cauliflower salad served with garlic dressing. Ingredients: cucumber | lettuce | cress | cauliflower | garlic,Appetiser
Pepper And Tofu Sushi,Fresh pepper and silken tofu on a bed of sushi rice. Ingredients: rice | rice vinegar | sugar | pepper | tofu,Appetiser
Beetroot And Pork Soup,Fresh beetroot and pork combined into chunky soup. Ingredients: garlic | beetroot | pork,Appetiser
Salmon And Mushroom Wontons,Thin wonton cases stuffed with freshlycaught salmon and crimini mushroom. Ingredients: flour | water | salt | sugar | salmon | mushroom,Appetiser
Elderberry Salad With Garlic Dressing,A mouthwatering grouse salad served with sunflower oil dressing. Ingredients: cucumber | lettuce | cress | grouse | sunflower oil,Appetiser
Parsley And Chicken Wontons,Thin wonton cases stuffed with fresh parsley and cornfed chicken. Ingredients: flour | water | salt | sugar | parsley | chicken,Appetiser
Pear And Mustard Seed Soup,Dried pears and yellow mustard seeds combined into chunky soup. Ingredients: onion | pear | mustard seed,Appetiser
Cauliflower And Lamb Soup,Fresh cauliflower and minced lamb combined into smooth soup. Ingredients: onion | cauliflower | lamb,Appetiser
Cabbage And Cardamom Wontons,Thin wonton cases stuffed with chinese cabbage and green cardamom. Ingredients: flour | water | salt | sugar | cabbage | cardamom,Appetiser
Crab And Cabbage Dumplings,Thin pastry cases stuffed with crab and savoy cabbage. Ingredients: flour | water | salt | sugar | crab | cabbage,Appetiser
Jalapeno And Apple Parcels,Thin filo pastry cases stuffed with fresh jalapeno and bramley apple. Ingredients: flour | water | salt | onions | jalapeno | apple,Appetiser
Cucumber And Egg Maki,Toasted seaweed wrapped around sushi rice filled with fresh cucumber and free range eggs. Ingredients: rice | rice vinegar | sugar | cucumber | egg,Appetiser
Bulgur Wheat Salad With Garlic Dressing,A mouthwatering bulgur wheat salad served with garlic dressing. Ingredients: cucumber | lettuce | cress | bulgur wheat | garlic,Appetiser
Salmon And Parsley Dumplings,Thin pastry cases stuffed with smoked salmon and fresh parsley. Ingredients: flour | water | salt | sugar | salmon | parsley,Appetiser
Parsley And Nectarine Gyoza,Thin pastry cases stuffed with dried parsley and fresh nectarine. Ingredients: flour | water | salt | sugar | parsley | nectarine,Appetiser
Anchovy Salad With Pepper Dressing,A mouthwatering anchovy salad served with pepper dressing. Ingredients: cucumber | lettuce | cress | anchovy | pepper,Appetiser
Salmon And Nectarine Gyoza,Thin pastry cases stuffed with freshlycaught salmon and fresh nectarine. Ingredients: flour | water | salt | sugar | salmon | nectarine,Appetiser
